@RELATION P1BotAgent

@ATTRIBUTE celda[6][9] NUMERIC
@ATTRIBUTE celda[7][9] NUMERIC
@ATTRIBUTE celda[8][9] NUMERIC
@ATTRIBUTE celda[8][10] NUMERIC
@ATTRIBUTE celda[9][10] NUMERIC
@ATTRIBUTE celda[9][11] NUMERIC
@ATTRIBUTE celda[10][10] NUMERIC
@ATTRIBUTE celda[11][10] NUMERIC
@ATTRIBUTE celda[12][10] NUMERIC
@ATTRIBUTE celda[13][10] NUMERIC
@ATTRIBUTE celda[14][10] NUMERIC
@ATTRIBUTE celda[15][10] NUMERIC
@ATTRIBUTE celda[16][10] NUMERIC
@ATTRIBUTE celda[17][10] NUMERIC
@ATTRIBUTE celda[10][11] NUMERIC
@ATTRIBUTE celda[11][11] NUMERIC
@ATTRIBUTE celda[12][11] NUMERIC
@ATTRIBUTE celda[13][11] NUMERIC
@ATTRIBUTE celda[14][11] NUMERIC
@ATTRIBUTE celda[15][11] NUMERIC
@ATTRIBUTE celda[16][11] NUMERIC
@ATTRIBUTE celda[17][11] NUMERIC
@ATTRIBUTE celda[10][12] NUMERIC
@ATTRIBUTE celda[11][12] NUMERIC
@ATTRIBUTE celda[12][12] NUMERIC
@ATTRIBUTE celda[13][12] NUMERIC
@ATTRIBUTE celda[14][12] NUMERIC
@ATTRIBUTE celda[15][12] NUMERIC
@ATTRIBUTE celda[16][12] NUMERIC
@ATTRIBUTE celda[17][12] NUMERIC
@ATTRIBUTE mario_x NUMERIC
@ATTRIBUTE mario_y NUMERIC
@ATTRIBUTE marioStatus NUMERIC
@ATTRIBUTE marioMode NUMERIC
@ATTRIBUTE isMarioOnGround {1, 0}
@ATTRIBUTE isMarioAbleToJump {1, 0}
@ATTRIBUTE isMarioAbleToShoot {1, 0}
@ATTRIBUTE isMarioCarrying {1, 0}
@ATTRIBUTE killsTotal NUMERIC
@ATTRIBUTE killsByFire NUMERIC
@ATTRIBUTE killsByStomp NUMERIC
@ATTRIBUTE killsByShell NUMERIC
@ATTRIBUTE timeLeft NUMERIC
@ATTRIBUTE distancePassedCells NUMERIC
@ATTRIBUTE distancePassedPhys NUMERIC
@ATTRIBUTE flowersDevoured NUMERIC
@ATTRIBUTE mushroomsDevoured NUMERIC
@ATTRIBUTE coinsGained NUMERIC
@ATTRIBUTE timeSpent NUMERIC
@ATTRIBUTE hiddenBlocksFound NUMERIC
@ATTRIBUTE reward NUMERIC
@ATTRIBUTE coins NUMERIC
@ATTRIBUTE bricks NUMERIC
@ATTRIBUTE enemys NUMERIC
@ATTRIBUTE coins_6 NUMERIC
@ATTRIBUTE enemys_6 NUMERIC
@ATTRIBUTE coins_12 NUMERIC
@ATTRIBUTE enemys_12 NUMERIC
@ATTRIBUTE coins_24 NUMERIC
@ATTRIBUTE enemys_24 NUMERIC
@ATTRIBUTE ACTION {00, 01, 10, 11}
@data
0, 0, 0, 0, 0, 0, 0, 0, -60, 0, 0, 0, 0, 0, 0, 0, -60, 0, 0, 0, 0, 0, 0, -60, -60, 0, 0, 0, 0, 0, 398.95908, 188.095, 2, 2, 0, 0, 0, 0, 1, 1, 0, 0, 196, 24, 398, 0, 0, 8, 3, 0, 127, 5, 9, 2, 2, 0, 2, 0, 2, -5, 10
0, 0, 0, 0, 0, -62, 0, 0, -60, 0, 0, 0, 0, 0, 0, -60, -60, 0, 0, 0, 0, 0, 0, -60, -60, 0, 0, 0, 0, 0, 408.3636, 184.03575, 2, 2, 0, 0, 0, 0, 1, 1, 0, 0, 196, 25, 408, 0, 0, 8, 3, 0, 127, 4, 7, 2, 0, 0, 0, 0, 0, -7, 11
0, 0, 0, 0, -62, 0, 0, -60, -60, 0, 0, 0, 0, 0, 80, -60, -60, 0, 0, 0, 0, 0, 0, -60, -60, 0, 0, 0, 0, 0, 417.9336, 183.58539, 2, 2, 0, 0, 0, 0, 1, 1, 0, 0, 196, 26, 417, 0, 0, 8, 3, 0, 127, 2, 5, 2, 0, 0, 0, 0, 0, -7, 11
0, 0, 0, 0, -62, 0, 0, -60, -60, 0, 0, 0, 0, 0, 80, -60, -60, 0, 0, 0, 0, 0, 0, -60, -60, 0, 0, 0, 0, 0, 427.6509, 186.20258, 2, 2, 0, 0, 0, 0, 1, 1, 0, 0, 196, 26, 427, 0, 0, 8, 4, 0, 127, 2, 5, 2, 0, 0, 0, 0, 0, -7, 11
0, 0, 0, 0, 0, 0, 80, -60, -60, 0, 0, 0, 0, 0, 0, -60, -60, 0, 0, 0, 0, 0, 0, -60, -60, 0, 0, 0, 0, 0, 437.4993, 191.42719, 2, 2, 0, 0, 0, 0, 1, 1, 0, 0, 196, 27, 437, 0, 0, 8, 4, 0, 127, 1, 3, 2, 0, 0, 0, 0, 0, -7, 11
0, 0, -62, 0, 0, 0, -60, -60, 0, 0, 0, 0, 0, 0, -60, -60, 0, 0, 0, 0, 0, 0, -60, -60, 0, 0, 0, 0, 0, 0, 447.4644, 201.0, 2, 2, 0, 0, 0, 0, 2, 1, 1, 0, 195, 27, 447, 0, 0, 8, 4, 0, 137, 0, 3, 1, 0, 0, 0, 0, 0, -7, 10
0, 0, 0, 0, 0, 0, 0, -60, -60, 0, 0, 0, 0, 0, 0, -60, -60, 0, 0, 0, 0, 0, 0, -60, -60, 0, 0, 0, 0, 0, 457.5333, 185.8, 2, 2, 0, 0, 0, 0, 2, 1, 1, 0, 195, 28, 457, 0, 0, 8, 4, 0, 137, 0, 2, 1, 0, 0, 0, 0, 0, -6, 10
0, 0, 0, -62, 0, 0, 0, 0, -60, -60, 0, 0, 0, 0, 0, 0, -60, -60, 0, 0, 0, 0, 0, 0, -60, -60, 0, 0, 0, 0, 467.69464, 175.88, 2, 2, 0, 0, 0, 0, 2, 1, 1, 0, 195, 29, 467, 0, 0, 8, 4, 0, 137, 0, 0, 1, 0, 0, 0, 0, 0, -6, 10
0, 0, 0, -62, 0, 0, 0, 0, -60, -60, 0, 0, 0, 0, 0, 0, -60, -60, 0, 0, 0, 0, 0, 0, -60, -60, 0, 0, 0, 0, 477.93823, 170.448, 2, 2, 0, 0, 0, 0, 2, 1, 1, 0, 195, 29, 477, 0, 0, 8, 4, 0, 137, 0, 0, 1, 0, 1, 0, 1, 0, -6, 11
0, 0, -62, -62, 0, 0, 0, 0, -60, -60, 0, 0, 0, 0, 0, 0, -60, -60, 0, 0, 0, 0, 0, 0, -60, -60, 0, 0, 0, 0, 488.25504, 168.8308, 2, 2, 0, 0, 0, 0, 2, 1, 1, 0, 195, 30, 488, 0, 0, 8, 4, 0, 137, 0, 0, 1, 0, 1, 0, 1, 0, -6, 11
